id,title,content,question,answer
11,rural,"Pour les articles homonymes, voir  Campagne (homonymie) . La  campagne , aussi appelée  milieu rural , est l'ensemble des espaces  cultivés  habités et maîtrisés par l' homme , et s'oppose d'une part aux  espaces naturels , non  anthropisé , et d'autre part au milieu urbain et  périurbain  propre aux  villes  et aux grandes  agglomérations . La campagne est caractérisée par une faible densité par rapport aux pôles urbains environnant, par un paysage à dominante végétale ( champs ,  prairies ,  forêts  exploitée en  sylviculture ,  bocage ), par une activité agricole dominante, au moins par les surfaces qu'elle occupe et par une économie structurée plus fortement autour du  secteur primaire . Les habitants sont dits «ruraux» ou «campagnards» [ 3 ] . À l'échelle mondiale,  3,3 milliards  d'individus seraient des ruraux, soit un peu moins de la moitié de la  population mondiale . Si la campagne est caractérisée par une occupation des sols majoritairement agricole, sa population n'est elle pas forcément liée à l' agriculture . Dans les  pays développés , une partie non négligeable de la population campagnarde travaille dans les  secteurs tertiaires  et  secondaires . La campagne est alors parsemée de «districts» industriels, en plus, d'être parfois un espace fortement touristique. Cette fonction récréative et  aménitaire  s'est amplifiée par l'augmentation de la  mobilité spatiale  de la population, update peut se permettre d'habiter à la campagne et de travailler en ville: phénomène dit de  rurbanisation . Les définitions du terme «rural» varient énormément selon les époques, et selon les pays. Statistiquement, un espace est considéré comme rural quand la plus petite division administrative n'a pas atteint un seuil de population totale ou de  densité de population . En France, pour l' Insee , une  commune  est dite rurale quand elle n'atteint pas le seuil de 2000habitants. Ces communes rurales regroupent 25,3% de la population française. D'autres critères peuvent être pris en compte statistiquement pour définir l'espace rural, comme la part de l'emploi alloué aux  activités primaires  ou le manque d'accès à certains équipements. Plus de 39% de la population française ( 22,8 millions  de personnes) habitent dans une zone rurale ou péri-urbaine [ 4 ] . Après un lent déclin au  XX e siècle, l'espace rural connaît à nouveau un dynamisme démographique [ 4 ] .",Quel terme est associé au mot rural ?,campagne
12,déjections,"Cet article est une  ébauche  concernant la  biologie .  Vous pouvez partager vos connaissances en l’améliorant ( comment? ) selon les recommandations des  projets correspondants . Les  excréments  sont toutes les matières naturellement évacuées par l'être humain ou un autre organisme  animal , sous forme solide ou liquide ( matières fécales ,  urine ,  sueur , etc. ) [ 1 ] , correspondant à leurs  déchets métaboliques .",Quel forme peuvent avoir les déjections ?,forme solide ou liquide
13,vénéré_par_les_Égyptiens,"Le  chat  était l'un des nombreux animaux dont les attributs furent vénérés dans l' Égypte antique . Il était notamment associé au symbole de protection. Tout d'abord avatar du dieu  Rê  en tant que pourfendeur du serpent  Apophis , il connaîtra le sommet de son influence en tant qu'incarnation de la déesse  Bastet .",Quel animal était vénéré dans l'Egypte antique ?,Le chat
14,estomac,"Cet article  ne cite pas suffisamment ses sources   ( mars 2021 ).  Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les  références utiles à sa  vérifiabilité  et en les liant à la section « Notes et références ». En pratique:   Quelles sources sont attendues?   Comment ajouter mes sources?  modifier  -  modifier le code  -  modifier Wikidata L' estomac  (en  grec ancien   στόμαχος /  stómakhos ) (aussi appelé  poche stomacale ) est la portion du  tube digestif  en forme de poche, située entre l’ œsophage  et le  duodénum . L'œsophage reçoit les  aliments  mâchés dans la bouche et déglutis dans l'estomac. Chez l’être humain, l’organe est en forme de J majuscule, à l’âge adulte il mesure 25×8×5 cm , contient  0,5 litre à vide, et peut contenir jusqu’à  4  l . L’estomac est en rapport anatomique avec le  foie  (à droite), la  rate  (à gauche), le  pancréas  (en arrière), le  diaphragme  (en haut) et les  intestins  (en bas). Il est situé au-dessus du  mésocôlon  (étage sus-mésocolique). La branche de la  médecine  qui s’occupe de l’estomac est la  gastro-entérologie . L’estomac permet d’assurer la digestion par ses fonctions mécaniques (brassage) et chimiques en mélangeant les aliments aux  sucs gastriques  ( eau ,  acide chlorhydrique ,  enzymes ). Pour une digestion idéale, le  pH  de l’estomac est compris entre 1,5 (pendant la nuit) et 5 (en début de digestion): les enzymes gastriques fonctionnent à pH acide (un pH < 7 est dit acide). Le produit de la transformation par l’estomac est une pâte, appelée  chyme  qui se déverse dans le duodénum par le pylore. C’est dans le duodénum que le chyme acide va être neutralisé par les  bases  issues de la  bile  et du  suc pancréatique . Cette neutralisation produit des sels minéraux assimilables, dont certains passent dans l’organisme directement à travers la paroi du duodénum grâce à des hormones produites par les glandes surrénales, les  minéralocorticoïdes . La durée de malaxageet debroyage dans l’estomac est variable (entre deux et quatre heures environ). [ réf. souhaitée] . Si non mélangés, certains liquides peuvent être digérés en trente à quarante-cinq minutes.",Où se situe l'estomac ?,entre l’ œsophage et le duodénum
15,ouïe,"Pour les articles homonymes, voir  Ouïe . Cet article  ne cite pas suffisamment ses sources   ( février 2014 ).  Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les  références utiles à sa  vérifiabilité  et en les liant à la section « Notes et références ». En pratique:   Quelles sources sont attendues?   Comment ajouter mes sources?  L’ ouïe [ a ]  est la capacité de percevoir des  sons . Elle est l’un des cinq  sens  généralement admis.",Que permet de percevoir l'ouïe ?,des sons
16,onyxectomie,"L' onyxectomie  (du  grec   onyx , l'ongle), ou  dégriffage , est une  opération chirurgicale  qui consiste en l'ablation des  griffes . Elle se pratique notamment chez les  chats  de compagnie. Elle est illégale dans de nombreux pays et des associations de  défense des animaux  comme  PETA  condamnent cette opération, considérée comme  cruelle [ 1 ] .",En quoi consiste le dégriffage ?,l'ablation des griffes
17,toucher,"«Tact» redirige ici.  Pour le ruisseau, voir  Tact (ruisseau) . Pour les articles homonymes, voir  Toucher (aéronautique) . Le  toucher , aussi appelé  tact  ou  taction , est l'un des  sens  extéroceptifs de l'animal (dont l'humain), essentiel pour la survie et le développement des êtres vivants, l'exploration, la reconnaissance, la découverte de l'environnement, la locomotion ou la marche, la préhension des objets et la nutrition, le toucher d'un instrument de musique, la recherche de l'exposition solaire ou la quête d'un espace agréable, les contacts sociaux, la sexualité... Il existe avec des variantes dans tout le règne animal et, beaucoup moins observables du fait de l'immobilité apparente, végétale. Notons que certains végétaux ont également des réactions tactiles avec des temps de réponses suffisamment courts pour être observables [ 1 ] . Le toucher se confond aussi avec le contact impliquant au moins un être vivant. On a récemment montré la complexité du toucher. Chez le  fœtus humain , c'est le premier des cinq sens à se développer même s'il ne s'agit pas d'un sens indépendant des autres. Le sens  haptique  permet notamment, chez l'homme, de mieux connecter la  vision  et l' audition , et peut même significativement faciliter l'apprentissage de la lecture chez l'adulte [ 2 ] . Fait trivial souvent oublié, se toucher ou se faire toucher de façon positive est crucial pour la survie de l'homme. Toucher les objets et les autres êtres vivants favorise l'apprentissage chez l'enfant, jusqu'à faciliter l'apprentissage de la lecture chez l'enfant qui s'initie à la lecture, comme chez l'adulte apprenant une langue étrangère. Enfin, il existe un nombre gigantesque de thérapies impliquant le sens du toucher.",Avec quoi se confond le toucher ? ,le contact
18,surdité,"Cet article  doit être  recyclé   ( mars 2021 ).  Une réorganisation et une clarification du contenu paraissent nécessaires.  Améliorez-le ,  discutez des points à améliorer  ou précisez les sections à recycler en utilisant  {{section à recycler}} . Pour les articles homonymes, voir  Sourd . Ne doit pas être confondu avec  Sourds (communauté) .    Mise en garde médicale modifier  -  modifier le code  -  voir Wikidata   (aide)   La  surdité  est un  état pathologique  de l' audition  caractérisé par une perte partielle ou totale de la  perception  des  sons . Lorsque la perte est totale, il s'agit d'une  cophose , parfois appelée  anacousie . Le terme  hypoacousie  est quasi-synonyme de surdité, étant parfois réservé aux cas où la perte de l'audition est partielle. La surdité peut être classée selon le degré de perte de l' ouïe  et selon la localisation de l'atteinte. Son traitement médical est possible, par des appareillages externes ou internes (implants), quoique la récupération de l'audition des phonèmes de la langue puisse continuer à être altérée. La surdité qui apparaît à l'âge adulte peut avoir des origines médicales ou traumatiques. Elle est un handicap contre lequel certains moyens sont mis en œuvre afin d'aider les personnes dites sourdes ou malentendantes. Lorsqu'elle survient à un âge précoce et avant l'apprentissage du langage, la surdité peut compromettre l'apprentissage du langage et par conséquent l'apprentissage de la lecture, et entraîner de multiples problèmes associés à l'illettrisme et aux bas niveaux d'éducation. La surdité précoce nécessite une prise en charge éducative précoce offrant à l'enfant sourd des moyens de communication qui vont lui permettre de bien développer ses relations sociales et d'optimiser son développement émotionnel, cognitif et intellectuel. L'apprentissage de la  langue des signes  et l'aide à l'apprentissage de la langue orale par diverses méthodes de rééducation et de complément à la lecture labiales sont des méthodes validées ayant chacune des avantages démontrés, malgré leurs limites. Donc, en conclusion, la surdité est un handicap auditif. C'est plus précisément une perte ou une grande diminution de l'ouïe. Il est important de distinguer les personnes sourdes de vieillesse des autres sourds car à partir de 65 ans, la surdité est considérée comme «normale». Le terme «sourd» regroupe de nombreuses personnes atteintes de déficiences auditives différentes [ 1 ] .",Quel type d'handicap est la surdité ?,un handicap auditif
19,sommeil_paradoxal,"Cet article est une  ébauche  concernant la  médecine .  Vous pouvez partager vos connaissances en l’améliorant ( comment? ) selon les recommandations des  projets correspondants . Le  sommeil paradoxal , connu également comme le sommeil REM ( Rapid Eye Movement ), fait suite au sommeil lent («sommeil à ondes lentes» désignant les stades 3 et 4), et constitue le cinquième et dernier stade d'un cycle du  sommeil . Une «nuit» comprend de trois à six cycles successifs d'une durée chacun de 90 à 120 minutes. Chez une personne normale, la durée du sommeil paradoxal occupe environ 25% de la durée d'une nuit, et s'accroît à chaque cycle jusqu'au réveil [ 1 ] . C'est la phase du sommeil au cours de laquelle les  rêves  dont on se souvient se produisent. Il se caractérise par des  mouvements oculaires rapides , d'où le nom anglais  Rapid Eye Movement , une  atonie  musculaire, une  respiration  et un  rythme cardiaque  irréguliers, une  température corporelle  déréglée. On observe une dilatation des organes  pelviens  et une  érection  qui, chez le mâle, peut être suivie d'éjaculations. L'activité électrique du cerveau est proche de celle de l'éveil, comme le montre le tracé  électro-encéphalographique . On l'observe non seulement chez l'être humain mais aussi chez la majorité des  mammifères   placentaires , chez les  oiseaux  et chez certains  reptiles  (lézards [ 2 ] ). Son déclenchement peut être observé par le placement d' électrodes  au niveau du  pont , du  corps géniculé  et du  cortex visuel  (parfois appelé cortex occipital).",Qu'est ce que le sommeil paradoxal ?,la phase du sommeil au cours de laquelle les  rêves  dont on se souvient se produisent
20,Espèce,"Cet article concerne le sens biologique du mot «espèce». Pour les autres significations, voir  Espèce (homonymie) . Dans les  sciences du vivant , l’ espèce  (du  latin   species , «type» ou «apparence») est le  taxon  de base de la  systématique . La définition le plus communément admise est celle du concept biologique [ 1 ] , [ 2 ] , [ 3 ] : une espèce est un ensemble d'individus qui peuvent effectivement ou potentiellement se reproduire entre eux et engendrer une descendance viable et féconde, dans des conditions naturelles. Une publication de 1997 recense cependant  22 concepts  d'espèces (espèce biologique, morphologique, écologique, comportementale…) dans la  littérature scientifique [ 4 ] . Ainsi, l'espèce est la plus grande unité de population au sein de laquelle le flux génétique est possible et les individus d'une même espèce sont donc génétiquement isolés d'autres ensembles équivalents du point de vue reproductif. En particulier, le critère d’interfécondité ne peut pas toujours être vérifié: c'est le cas pour les  fossiles , les  organismes   asexués  ou pour des espèces rares ou difficiles à observer. D’autres définitions peuvent donc être utilisées [ 5 ] :",Quelles sont les origines latines du mot espèce ?,"du latin species , «type» ou «apparence»"
21,Chat_(animal),"Pour les articles homonymes, voir  Chat (homonymie) . Taxons concernés modifier   Chat  est un terme ambigu employé en français pour désigner de nombreux  félins  de taille moyenne ou petite, appartenant à la  sous-famille  des  félinés . Employé seul, il s'agit du  nom vernaculaire  donné au  chat domestique  ( Felis silvestris catus ). Par  synecdoque , chat peut désigner l'ensemble des  félins : l'expression « chat sauvage » s'applique à plusieurs espèces ou sous-espèces de petits félins, tandis que la  sous-famille  des  Panthérinés  est parfois désignée par l'expression  «grands chats» .",De quelles taille est le cha t? ,de taille moyenne ou petite
22,Synonymes,"Pour les articles homonymes, voir  Synonymie . Dans la  nomenclature scientifique  du monde vivant, les  synonymes  sont des noms scientifiques différents pour désigner un même  taxon . Ils sont la conséquence des remaniements, parfois très nombreux, apportés par les scientifiques à la  classification scientifique des espèces  (genres fusionnés, sous-espèces promues au rang d'espèce, doublons, coquilles, etc. ). Les autorités, dates et éléments de typographie associés sont indispensables à prendre en compte pour éviter les confusions et leur interprétation varie selon les codes de nomenclature [ 1 ] . Le nom scientifique validé en dernier n'est pas forcément celui qui a été publié le plus récemment. Par exemple  Hyperolius viridiflavus  admet de nombreux synonymes, dont les derniers sont postérieurs à 1970, alors que le nom actuellement valide [ a ]  est « Hyperolius viridiflavus  (Duméril and Bibron, 1841)» [ 4 ] .",Qu'est ce qu'on synonyme dans la nomenclature scientifique ?,des noms scientifiques différents pour désigner un même taxon
23,bas_latin,"Cet article est une  ébauche  concernant la  Rome antique  et une  langue .  Vous pouvez partager vos connaissances en l’améliorant ( comment? ) selon les recommandations des  projets correspondants .  Le  bas latin , ou  latin tardif , est le  latin  de l’ Antiquité tardive , habituellement les versions du latin parlées du  III e  au  VI e siècle (voire jusqu'au  VII e siècle en Espagne).",De quelle époque vient le bas latin ? ,Antiquité tardive
24,organe_de_Jacobson,"L’ organe voméronasal  (ou  «OVN»  ou  organe de Jacobson ) est un  organe  tubulaire situé chez l'humain sous la surface intérieure du  nez . Chez les  mammifères , cet organe est spécialisé dans la détection des  phéromones , qui sont des  molécules  véhiculant des signaux  innés . Ces signaux permettent de réguler les comportements sociaux (comportements sexuel, parental, d'agression …). Suivant les espèces, il existe des différences anatomiques. Les phéromones arrivent à l'organe voméronasal soit par la bouche (par léchage ou  flehmen ), soit par le nez, soit par le canal nasopalatin (qui relie la bouche et le nez). Chez les  Catarrhiniens  ( Macaques ,  Babouins , et  Hominidés ), le système voméronasal est  vestigial . Chez l'être humain, l'organe voméronasal n'est quasiment plus fonctionnel, le  bulbe olfactif accessoire  est atrophié, et le canal nasopalatin est généralement obturé [ 1 ] .",Où se situe l'organe de Jacobson ?,sous la surface intérieure du nez
25,pedigree,"Pour les articles homonymes, voir  Pedigree (homonymie) . Cet article est une  ébauche  concernant la  généalogie .  Vous pouvez partager vos connaissances en l’améliorant ( comment? ) selon les recommandations des  projets correspondants . Cet article  ne cite pas suffisamment ses sources   ( février 2021 ).  Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les  références utiles à sa  vérifiabilité  et en les liant à la section « Notes et références ». En pratique:   Quelles sources sont attendues?   Comment ajouter mes sources?  Le  pedigree  (parfois écrit  pédigrée ) est, chez les animaux, une liste d'ancêtres de la même  espèce  garantissant la pureté de la race. En France, pour les  chiens , on peut obtenir un extrait du  Livre des origines français  (LOF), équivalent d'un extrait d'état civil, qui certifie la  généalogie  d'un chien de race. Pour les chats, il s'agit du  Livre officiel des origines félines  (LOOF). Chez le lapin, le pedigree garantit la race aussi bien que sa pureté. Dans le langage courant, le terme «pedigree» est aussi utilisé pour tout ce qui a rapport à l'histoire d'une lignée distinguée. On s'en sert pour démontrer que l'animal vendu n'a aucun lien de parenté sur plusieurs générations si l'éleveur le désire.",Que garantie le pédigrée ?,la pureté de la race
26,vue,"Pour les articles homonymes, voir  Vue (homonymie) . La  vue  est le  sens  qui permet de réagir à l'environnement distant au moyen des  rayonnements lumineux . L' œil  est l'organe de la  vue , mais la vision, c'est-à-dire la  perception  visuelle, implique des zones spécialisées du  cerveau . Le  cortex visuel  synthétise les  influx nerveux  et les  traces mémorielles  des  expériences  visuelles passées pour identifier des formes, des  couleurs , des textures, des  reliefs . La plupart des espèces vivantes animées possèdent un sens de la vue, dont les caractéristiques, variées, dépendent de leur environnement.",Grâce à quoi est-il possible d'interagir avec l'environnement ?,rayonnements lumineux
27,Prédateur,"Pour les articles homonymes, voir  Prédateur (homonymie) . La  prédation  est l'action de prendre, de capturer.",Quelle action produit un prédateur ?,"l'action de prendre, de capturer"
